Time [s],PIN 0,TX
1.439481375,0,1
1.439950250,0,0
1.440389417,1,0
1.440452667,0,0
1.440609333,0,1
1.441078750,0,0
1.441517875,1,0
1.441581125,0,0
1.441738167,0,1
1.442207250,0,0
1.442646292,1,0
1.442709583,0,0
1.442866417,0,1
1.443335042,0,0
1.443774708,1,0
1.443837958,0,0
1.443994917,0,1
1.444463792,0,0
1.444903292,1,0
1.444966542,0,0
1.445123667,0,1
1.445592875,0,0
1.446031625,1,0
1.446094833,0,0
1.446251708,0,1
1.446721083,0,0
1.447160083,1,0
1.447223375,0,0
1.447380250,0,1
1.447848917,0,0
1.448288583,1,0
1.448351875,0,0
1.448508625,0,1
1.448977667,0,0
1.449417042,1,0
1.449480292,0,0
1.449637167,0,1
1.450105875,0,0
1.450545500,1,0
1.450608750,0,0
1.450765833,0,1
1.451234958,0,0
1.451673958,1,0
1.451737208,0,0
1.451894167,0,1
1.452362875,0,0
1.452802417,1,0
1.452865625,0,0
1.453022208,0,1
1.453491208,0,0
1.453930792,1,0
1.453994042,0,0
1.454150708,0,1
1.454619750,0,0
1.455059250,1,0
1.455122458,0,0
1.455279333,0,1
1.455748208,0,0
1.456187708,1,0
1.456250917,0,0
1.456407667,0,1
1.456876792,0,0
1.457316167,1,0
1.457379417,0,0
1.457536250,0,1
1.458004667,0,0
1.458444542,1,0
1.458507792,0,0
1.458664583,0,1
1.459133958,0,0
1.459573042,1,0
1.459636292,0,0
1.459793208,0,1
1.460262292,0,0
1.460701417,1,0
1.460764708,0,0
1.460921375,0,1
1.461390792,0,0
1.461829917,1,0
1.461893167,0,0
1.462050167,0,1
1.462519500,0,0
1.462958333,1,0
1.463021542,0,0
1.463178542,0,1
1.463647250,0,0
1.464086833,1,0
1.464150042,0,0
1.464306833,0,1
1.464775833,0,0
1.465215250,1,0
1.465278458,0,0
1.465435458,0,1
1.465904750,0,0
1.466343750,1,0
1.466406958,0,0
1.466563792,0,1
1.467032667,0,0
1.467472167,1,0
1.467535375,0,0
1.467692208,0,1
1.468161042,0,0
1.468600583,1,0
1.468663833,0,0
1.468820542,0,1
1.469289417,0,0
1.469729042,1,0
1.469792292,0,0
1.469949208,0,1
1.470418042,0,0
1.470857458,1,0
1.470920667,0,0
1.471077542,0,1
1.471546458,0,0
1.471985958,1,0
1.472049208,0,0
1.472206208,0,1
1.472675417,0,0
1.473114375,1,0
1.473177625,0,0
1.473334583,0,1
1.473803250,0,0
1.474242833,1,0
1.474306125,0,0
1.474463000,0,1
1.474931500,0,0
1.475371208,1,0
1.475434458,0,0
1.475591125,0,1
1.476060583,0,0
1.476499750,1,0
1.476562958,0,0
1.476720167,0,1
1.477188875,0,0
1.477628208,1,0
1.477691417,0,0
1.477848292,0,1
1.478317458,0,0
1.478756625,1,0
1.478819917,0,0
1.478976917,0,1
1.479445625,0,0
1.479885083,1,0
1.479948292,0,0
1.480105250,0,1
1.480574208,0,0
1.481013542,1,0
1.481076750,0,0
1.481233708,0,1
1.481702208,0,0
1.482141958,1,0
1.482205250,0,0
1.482362250,0,1
1.482831375,0,0
1.483270417,1,0
1.483333625,0,0
1.483490500,0,1
1.483959167,0,0
1.484398750,1,0
1.484462000,0,0
1.484618667,0,1
1.485087417,0,0
1.485527333,1,0
1.485590583,0,0
1.485747458,0,1
1.486216292,0,0
1.486655708,1,0
1.486718958,0,0
1.486875708,0,1
1.487344542,0,0
1.487784167,1,0
1.487847375,0,0
1.488004042,0,1
1.488472542,0,0
1.488912625,1,0
1.488975833,0,0
1.489132625,0,1
1.489601833,0,0
1.490041042,1,0
1.490104292,0,0
1.490260958,0,1
1.490730042,0,0
1.491169500,1,0
1.491232750,0,0
1.491389583,0,1
1.491858875,0,0
1.492297917,1,0
1.492361167,0,0
1.492518000,0,1
1.492986917,0,0
1.493426417,1,0
1.493489667,0,0
1.493646708,0,1
1.494115792,0,0
1.494554833,1,0
1.494618042,0,0
1.494775000,0,1
1.495244083,0,0
1.495683333,1,0
1.495746542,0,0
1.495903375,0,1
1.496372500,0,0
1.496811708,1,0
1.496874917,0,0
1.497032125,0,1
1.497501000,0,0
1.497940167,1,0
1.498003375,0,0
1.498160125,0,1
1.498629417,0,0
1.499068667,1,0
1.499131958,0,0
1.499288917,0,1
1.499757792,0,0
1.500197042,1,0
1.500260292,0,0
1.500417042,0,1
1.500886000,0,0
1.501325542,1,0
1.501388750,0,0
1.501545750,0,1
1.502014458,0,0
1.502454000,1,0
1.502517250,0,0
1.502673958,0,1
1.503143208,0,0
1.503582458,1,0
1.503645667,0,0
1.503802792,0,1
1.504271958,0,0
1.504710833,1,0
1.504774083,0,0
1.504930917,0,1
1.505399542,0,0
1.505839333,1,0
1.505902542,0,0
1.506059375,0,1
1.506528458,0,0
1.506967792,1,0
1.507031042,0,0
1.507188000,0,1
1.507657042,0,0
1.508096208,1,0
1.508159417,0,0
1.508316375,0,1
1.508785417,0,0
1.509224625,1,0
1.509287833,0,0
1.509444542,0,1
1.509913833,0,0
1.510353125,1,0
1.510416375,0,0
1.510573333,0,1
1.511042500,0,0
1.511481542,1,0
1.511544792,0,0
1.511701583,0,1
1.512170500,0,0
1.512609958,1,0
1.512673208,0,0
1.512830167,0,1
1.513298875,0,0
1.513738375,1,0
1.513801625,0,0
1.513958375,0,1
1.514427292,0,0
1.514866833,1,0
1.514930125,0,0
1.515086750,0,1
1.515555375,0,0
1.515995292,1,0
1.516058542,0,0
1.516215208,0,1
1.516684333,0,0
1.517123792,1,0
1.517187042,0,0
1.517344250,0,1
1.517812792,0,0
1.518252208,1,0
1.518315417,0,0
1.518472458,0,1
1.518941833,0,0
1.519380667,1,0
1.519443875,0,0
1.519600458,0,1
1.520069958,0,0
1.520509125,1,0
1.520572333,0,0
1.520728917,0,1
1.521197792,0,0
1.521637542,1,0
1.521700750,0,0
1.521857792,0,1
1.522326917,0,0
1.522765917,1,0
1.522829167,0,0
1.522986042,0,1
1.523455125,0,0
1.523894417,1,0
1.523957625,0,0
1.524114542,0,1
1.524583292,0,0
1.525022875,1,0
1.525086083,0,0
1.525243125,0,1
1.525712000,0,0
1.526151375,1,0
1.526214625,0,0
1.526371500,0,1
1.526840208,0,0
1.527279792,1,0
1.527343042,0,0
1.527500042,0,1
1.527969083,0,0
1.528408167,1,0
1.528471417,0,0
1.528628375,0,1
1.529097042,0,0
1.529536667,1,0
1.529599917,0,0
1.529756750,0,1
1.530225875,0,0
1.530665083,1,0
1.530728292,0,0
1.530885167,0,1
1.531353917,0,0
1.531793583,1,0
1.531856792,0,0
1.532013833,0,1
1.532482750,0,0
1.532922000,1,0
1.532985250,0,0
1.533142375,0,1
1.533610958,0,0
1.534050417,1,0
1.534113667,0,0
1.534270708,0,1
1.534739625,0,0
1.535178958,1,0
1.535242208,0,0
1.535399125,0,1
1.535868083,0,0
1.536307292,1,0
1.536370542,0,0
1.536527417,0,1
1.536996250,0,0
1.537435833,1,0
1.537499042,0,0
1.537655917,0,1
1.538124958,0,0
1.538564208,1,0
1.538627417,0,0
1.538784125,0,1
1.539253292,0,0
1.539692625,1,0
1.539755875,0,0
1.539912667,0,1
1.540381625,0,0
1.540821083,1,0
1.540884333,0,0
1.541041292,0,1
1.541510167,0,0
1.541949542,1,0
1.542012750,0,0
1.542169458,0,1
1.542638792,0,0
1.543078042,1,0
1.543141333,0,0
1.543298208,0,1
1.543767458,0,0
1.544206542,1,0
1.544269750,0,0
1.544426792,0,1
1.544895958,0,0
1.545334917,1,0
1.545398167,0,0
1.545555125,0,1
1.546023708,0,0
1.546463375,1,0
1.546526625,0,0
1.546683500,0,1
1.547152417,0,0
1.547591750,1,0
1.547655000,0,0
1.547811708,0,1
1.548280625,0,0
1.548720208,1,0
1.548783458,0,0
1.548940167,0,1
1.549408958,0,0
1.549848750,1,0
1.549912042,0,0
1.550068792,0,1
1.550537792,0,0
1.550977167,1,0
1.551040458,0,0
1.551197333,0,1
1.551666250,0,0
1.552105542,1,0
1.552168792,0,0
1.552325667,0,1
1.552794583,0,0
1.553234000,1,0
1.553297208,0,0
1.553454083,0,1
1.553922792,0,0
1.554362458,1,0
1.554425708,0,0
1.554582500,0,1
1.555051417,0,0
1.555490958,1,0
1.555554167,0,0
1.555710958,0,1
1.556179792,0,0
1.556619375,1,0
1.556682625,0,0
1.556839292,0,1
1.557308375,0,0
1.557747875,1,0
1.557811083,0,0
1.557967833,0,1
1.558436750,0,0
1.558876250,1,0
1.558939458,0,0
1.559096250,0,1
1.559565042,0,0
1.560004708,1,0
1.560067958,0,0
1.560224875,0,1
1.560693542,0,0
1.561133125,1,0
1.561196417,0,0
1.561353083,0,1
1.561822417,0,0
1.562261583,1,0
1.562324833,0,0
1.562481625,0,1
1.562950583,0,0
1.563390000,1,0
1.563453250,0,0
1.563610250,0,1
1.564079250,0,0
1.564518500,1,0
1.564581750,0,0
1.564738583,0,1
1.565207833,0,0
1.565646917,1,0
1.565710125,0,0
1.565866958,0,1
1.566336000,0,0
1.566775292,1,0
1.566838542,0,0
1.566995250,0,1
1.567464208,0,0
1.567903833,1,0
1.567967083,0,0
1.568123667,0,1
1.568592417,0,0
1.569032250,1,0
1.569095500,0,0
1.569252292,0,1
1.569721125,0,0
1.570160708,1,0
1.570223917,0,0
1.570380583,0,1
1.570849833,0,0
1.571289125,1,0
1.571352375,0,0
1.571509333,0,1
1.571978375,0,0
1.572417625,1,0
1.572480875,0,0
1.572637667,0,1
1.573106792,0,0
1.573546042,1,0
1.573609292,0,0
1.573766042,0,1
1.574235125,0,0
1.574674542,1,0
1.574737792,0,0
1.574894625,0,1
1.575363458,0,0
1.575803000,1,0
1.575866208,0,0
1.576022833,0,1
1.576491708,0,0
1.576931417,1,0
1.576994667,0,0
1.577151292,0,1
1.577620167,0,0
1.578059792,1,0
1.578123042,0,0
1.578279667,0,1
1.578748083,0,0
1.579188333,1,0
1.579251625,0,0
1.579408333,0,1
1.579877417,0,0
1.580316750,1,0
1.580380000,0,0
1.580536750,0,1
1.581005542,0,0
1.581445167,1,0
1.581508417,0,0
1.581665500,0,1
1.582134750,0,0
1.582573625,1,0
1.582636875,0,0
