Time [s],PIN 0,TX
1.665117125,0,0
1.665273458,0,1
1.665914375,0,0
1.667386625,1,0
1.667460833,0,0
1.667617042,0,1
1.668257792,0,0
1.669730333,1,0
1.669804542,0,0
1.669960792,0,1
1.670601833,0,0
1.672074083,1,0
1.672148292,0,0
1.672304333,0,1
1.672945000,0,0
1.674417708,1,0
1.674491917,0,0
1.674648042,0,1
1.675289083,0,0
1.676761500,1,0
1.676835708,0,0
1.676995500,0,1
1.677636542,0,0
1.679105083,1,0
1.679179333,0,0
1.679335833,0,1
1.679976708,0,0
1.681448833,1,0
1.681523042,0,0
1.681679208,0,1
1.682320292,0,0
1.683792458,1,0
1.683866667,0,0
1.684022875,0,1
1.684663833,0,0
1.686136208,1,0
1.686210417,0,0
1.686366625,0,1
1.687007792,0,0
1.688479875,1,0
1.688554083,0,0
1.688710292,0,1
1.689351167,0,0
1.690823583,1,0
1.690897833,0,0
1.691054000,0,1
1.691694667,0,0
1.693167250,1,0
1.693241500,0,0
1.693397583,0,1
1.694038333,0,0
1.695511000,1,0
1.695585208,0,0
1.695741333,0,1
1.696382292,0,0
1.697854625,1,0
1.697928833,0,0
1.698088292,0,1
1.698729167,0,0
1.700198375,1,0
1.700272625,0,0
1.700428875,0,1
1.701069875,0,0
1.702542125,1,0
1.702616333,0,0
1.702772667,0,1
1.703413458,0,0
1.704885750,1,0
1.704959958,0,0
1.705116500,0,1
1.705757167,0,0
1.707229458,1,0
1.707303667,0,0
1.707459917,0,1
1.708100667,0,0
1.709573125,1,0
1.709647375,0,0
1.709803667,0,1
1.710444583,0,0
1.711916833,1,0
1.711991042,0,0
1.712147250,0,1
1.712788167,0,0
1.714260458,1,0
1.714334708,0,0
1.714491208,0,1
1.715131958,0,0
1.716604208,1,0
1.716678458,0,0
1.716838000,0,1
1.717479208,0,0
1.718947875,1,0
1.719022083,0,0
1.719178292,0,1
1.719819125,0,0
1.721291583,1,0
1.721365792,0,0
1.721522208,0,1
1.722163208,0,0
1.723635292,1,0
1.723709500,0,0
1.723865792,0,1
1.724506667,0,0
1.725978958,1,0
1.726053208,0,0
1.726209583,0,1
1.726850458,0,0
1.728322750,1,0
1.728397000,0,0
1.728556708,0,1
1.729197625,0,0
1.730666375,1,0
1.730740625,0,0
1.730897125,0,1
1.731537708,0,0
1.733010042,1,0
1.733084250,0,0
1.733244000,0,1
1.733885333,0,0
1.735353750,1,0
1.735427958,0,0
1.735584208,0,1
1.736225375,0,0
1.737697500,1,0
1.737771708,0,0
1.737928125,0,1
1.738568958,0,0
1.740041250,1,0
1.740115458,0,0
1.740271833,0,1
1.740912667,0,0
1.742384875,1,0
1.742459125,0,0
1.742615500,0,1
1.743256208,0,0
1.744728542,1,0
1.744802750,0,0
1.744958958,0,1
1.745599875,0,0
1.747072208,1,0
1.747146417,0,0
1.747302750,0,1
1.747943708,0,0
1.749415875,1,0
1.749490083,0,0
1.749646542,0,1
1.750287417,0,0
1.751759667,1,0
1.751833917,0,0
1.751990042,0,1
1.752631042,0,0
1.754103333,1,0
1.754177542,0,0
1.754333583,0,1
1.754974833,0,0
1.756447000,1,0
1.756521208,0,0
1.756677375,0,1
1.757318250,0,0
1.758790792,1,0
1.758865000,0,0
1.759021208,0,1
1.759662250,0,0
1.761134333,1,0
1.761208542,0,0
1.761364708,0,1
1.762005583,0,0
1.763478083,1,0
1.763552333,0,0
1.763708625,0,1
1.764349583,0,0
1.765821792,1,0
1.765896000,0,0
1.766052208,0,1
1.766693000,0,0
1.768165500,1,0
1.768239708,0,0
1.768396208,0,1
1.769036958,0,0
1.770509167,1,0
1.770583375,0,0
1.770739542,0,1
1.771380333,0,0
1.772852875,1,0
1.772927083,0,0
1.773083250,0,1
1.773723958,0,0
1.775196625,1,0
1.775270875,0,0
1.775427000,0,1
1.776068042,0,0
1.777540333,1,0
1.777614583,0,0
1.777770958,0,1
1.778411833,0,0
1.779884042,1,0
1.779958250,0,0
1.780114458,0,1
1.780755417,0,0
1.782227667,1,0
1.782301875,0,0
1.782458000,0,1
1.783098708,0,0
1.784571417,1,0
1.784645667,0,0
1.784802042,0,1
1.785443000,0,0
1.786915083,1,0
1.786989292,0,0
1.787145500,0,1
1.787786417,0,0
1.789258708,1,0
1.789332917,0,0
1.789489083,0,1
1.790130208,0,0
1.791602542,1,0
1.791676750,0,0
1.791833208,0,1
1.792474042,0,0
1.793946125,1,0
1.794020333,0,0
1.794176500,0,1
1.794817500,0,0
1.796289917,1,0
1.796364167,0,0
1.796520500,0,1
1.797161583,0,0
1.798633625,1,0
1.798707833,0,0
1.798864042,0,1
1.799505083,0,0
1.800977208,1,0
1.801051458,0,0
1.801207667,0,1
1.801848542,0,0
1.803320917,1,0
1.803395125,0,0
1.803551333,0,1
1.804192292,0,0
1.805664625,1,0
1.805738875,0,0
1.805895250,0,1
1.806536167,0,0
1.808008292,1,0
1.808082542,0,0
1.808242125,0,1
1.808883083,0,0
1.810352083,1,0
1.810426292,0,0
1.810585792,0,1
1.811226583,0,0
1.812695792,1,0
1.812770000,0,0
1.812926375,0,1
1.813567333,0,0
1.815039417,1,0
1.815113667,0,0
1.815269917,0,1
1.815910958,0,0
1.817383167,1,0
1.817457417,0,0
1.817613625,0,1
1.818254583,0,0
1.819726875,1,0
1.819801083,0,0
1.819957542,0,1
1.820598583,0,0
1.822070625,1,0
1.822144833,0,0
1.822301042,0,1
1.822941917,0,0
1.824414250,1,0
1.824488458,0,0
1.824644958,0,1
1.825285958,0,0
1.826757917,1,0
1.826832125,0,0
1.826988542,0,1
1.827629458,0,0
1.829101667,1,0
1.829175875,0,0
1.829332125,0,1
1.829973042,0,0
1.831445333,1,0
1.831519542,0,0
1.831676042,0,1
1.832317167,0,0
1.833789000,1,0
1.833863208,0,0
1.834019583,0,1
1.834660375,0,0
1.836132708,1,0
1.836206917,0,0
1.836363375,0,1
1.837004167,0,0
